Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
26,0.0,0.0,0.0,1329.0,26.0,70.0,1329.0,0.0,70.0,70.0,0.0,3.229755163192749,,,,,,,,,,,,,,,,,,,,,28.555753286315017,14.448776343706324,50.51613403997925,1.0,0.6170082,0.04431169,0.6875384,0.5398885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0,0.0,0.0,1364.0,27.0,35.0,1364.0,0.0,35.0,35.0,0.0,3.2816271781921387,,,,,,,,,,,,,,,,,,,,,16.118062299878204,8.505502191344702,29.65523050004304,1.0,0.60165405,0.053140968,0.69244885,0.5198221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,0.0,1383.0,28.0,19.0,1383.0,0.0,19.0,19.0,0.0,3.321256399154663,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.57395476,0.04722915,0.6929023,0.50830156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,1457.0,29.0,74.0,1457.0,0.0,74.0,74.0,0.0,3.402073860168457,,,,,,,,,,,,,,,,,,,,,29.80900561968244,14.99948488019969,52.46599579942925,1.0,0.6233889,0.05212809,0.6930357,0.5025457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,1488.0,30.0,31.0,1488.0,0.0,31.0,31.0,0.0,3.451378345489502,,,,,,,,,,,,,,,,,,,,,14.50978579285601,7.6787229718736745,26.769663034560224,1.0,0.62567484,0.045536388,0.69308114,0.5392412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,0.0,0.0,1562.0,31.0,74.0,1562.0,0.0,74.0,74.0,0.0,3.5461573600769043,,,,,,,,,,,,,,,,,,,,,29.80900561968244,14.99948488019969,52.46599579942925,1.0,0.632099,0.042983983,0.69112766,0.5163909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,0.0,1615.0,32.0,53.0,1615.0,0.0,53.0,53.0,0.0,3.6151843070983887,,,,,,,,,,,,,,,,,,,,,22.861587569454677,11.831358703192969,41.29632180625151,1.0,0.6300392,0.041622687,0.6931329,0.5475192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,0.0,1657.0,33.0,42.0,1657.0,0.0,42.0,42.0,0.0,3.6720011234283447,,,,,,,,,,,,,,,,,,,,,18.833959135333902,9.872910354830413,34.43407794258559,1.0,0.6151778,0.05097484,0.69306153,0.52744913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,0.0,1732.0,34.0,75.0,1732.0,0.0,75.0,75.0,0.0,3.765669584274292,,,,,,,,,,,,,,,,,,,,,30.117436689305816,15.13355055313155,52.941335841434956,1.0,0.58679247,0.0604687,0.69227195,0.45448953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,0.0,1751.0,35.0,19.0,1751.0,0.0,19.0,19.0,0.0,3.8055639266967773,,,,,,,,,,,,,,,,,,,,,9.424703998542563,4.984445784024266,17.38313761644132,1.0,0.57838804,0.056198776,0.6928459,0.5060579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,0.0,1775.0,36.0,24.0,1775.0,0.0,24.0,24.0,0.0,3.851410388946533,,,,,,,,,,,,,,,,,,,,,11.592233082977819,6.147545135447674,21.432185919278094,1.0,0.61911654,0.047235265,0.6930194,0.5405698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,0.0,0.0,1833.0,37.0,58.0,1833.0,0.0,58.0,58.0,0.0,3.921396493911743,,,,,,,,,,,,,,,,,,,,,24.600599510756076,12.650152241266936,44.173386145213584,1.0,0.6150215,0.04716037,0.6924751,0.52521545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0,0.0,0.0,1868.0,38.0,35.0,1868.0,0.0,35.0,35.0,0.0,3.9732677936553955,,,,,,,,,,,,,,,,,,,,,16.118062299878204,8.505502191344702,29.65523050004304,1.0,0.62047404,0.05221393,0.6930798,0.4845528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0,0.0,0.0,1907.0,39.0,39.0,1907.0,0.0,39.0,39.0,0.0,4.040101051330566,,,,,,,,,,,,,,,,,,,,,17.685066299918073,9.29894073774863,32.427095093971644,1.0,0.6315664,0.044205923,0.69314694,0.5402949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,0.0,0.0,1942.0,40.0,35.0,1942.0,0.0,35.0,35.0,0.0,4.098901987075806,,,,,,,,,,,,,,,,,,,,,16.118062299878204,8.505502191344702,29.65523050004304,1.0,0.6203209,0.04256266,0.6931163,0.530858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
