Episode #,iteration,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
26,,0.0,0.0,0.0,396.0,26.0,14.0,414.0,0.0,14.0,14.0,0.0,1.114912748336792,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,0.58115464,0.03698877,0.6911514,0.52503973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,0.0,0.0,0.0,405.0,27.0,9.0,423.0,0.0,9.0,9.0,0.0,1.149794101715088,,,,,,,,,,,,,,,,,,,,,4.868972232004989,2.4684556783231795,8.648275251635908,1.0,0.600557,0.036836125,0.6829164,0.54727554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0.0,0.0,0.0,416.0,28.0,11.0,434.0,0.0,11.0,11.0,0.0,1.2066450119018555,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5962373,0.039919794,0.6911982,0.5378398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,0.0,0.0,0.0,427.0,29.0,11.0,445.0,0.0,11.0,11.0,0.0,1.2645184993743896,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.59290147,0.05324756,0.6856706,0.52348924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,0.0,0.0,0.0,439.0,30.0,12.0,457.0,0.0,12.0,12.0,0.0,1.3313405513763428,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.60563374,0.053661793,0.69301295,0.53454226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0.0,0.0,0.0,451.0,31.0,12.0,469.0,0.0,12.0,12.0,0.0,1.4001636505126953,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.5975953,0.03145844,0.6701469,0.5502337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,0.0,0.0,0.0,467.0,32.0,16.0,485.0,0.0,16.0,16.0,0.0,1.4814660549163818,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,0.5726106,0.045807596,0.69252974,0.5139124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4.0,0.0,0.0,0.0,477.0,33.0,10.0,495.0,0.0,10.0,10.0,0.0,1.5163724422454834,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.5734364,0.04264725,0.66762984,0.5211634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,0.0,0.0,0.0,488.0,34.0,11.0,511.0,0.0,11.0,11.0,0.0,1.5552632808685303,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5904577,0.055488907,0.68741566,0.52432764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,0.0,0.0,0.0,499.0,35.0,11.0,522.0,0.0,11.0,11.0,0.0,1.6091253757476807,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5837946,0.045121387,0.68881166,0.52153987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,0.0,0.0,0.0,511.0,36.0,12.0,534.0,0.0,12.0,12.0,0.0,1.6809451580047607,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.5796183,0.04231123,0.6858787,0.5215322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0.0,0.0,0.0,522.0,37.0,11.0,545.0,0.0,11.0,11.0,0.0,1.7819015979766846,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.59745264,0.031081902,0.67120826,0.55623204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0.0,0.0,0.0,533.0,38.0,11.0,556.0,0.0,11.0,11.0,0.0,1.8417415618896484,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5922667,0.040887706,0.69054145,0.5490979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,0.0,0.0,0.0,550.0,39.0,17.0,573.0,0.0,17.0,17.0,0.0,1.890610694885254,,,,,,,,,,,,,,,,,,,,,8.537506735345653,4.5021653169993,15.705680661607307,1.0,0.6079345,0.05312521,0.69307286,0.5451508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,0.0,0.0,0.0,560.0,40.0,10.0,583.0,0.0,10.0,10.0,0.0,1.9238693714141846,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.59247416,0.042474255,0.6924803,0.5401903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5.0,0.0,0.0,0.0,573.0,41.0,13.0,596.0,0.0,13.0,13.0,0.0,1.9717192649841309,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.5993388,0.04751543,0.6927595,0.53909606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,0.0,0.0,0.0,586.0,42.0,13.0,613.0,0.0,13.0,13.0,0.0,2.0594289302825928,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.5903807,0.049208954,0.6879325,0.5341767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,0.0,0.0,0.0,597.0,43.0,11.0,624.0,0.0,11.0,11.0,0.0,2.1327877044677734,,,,,,,,,,,,,,,,,,,,,5.804428832844801,2.9933992150627855,10.466174574128354,1.0,0.5884201,0.038930308,0.68492496,0.5388187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0.0,0.0,0.0,610.0,44.0,13.0,637.0,0.0,13.0,13.0,0.0,2.1935901641845703,,,,,,,,,,,,,,,,,,,,,6.727548283829467,3.506985965126692,12.247897700103199,1.0,0.57902735,0.045933764,0.6908033,0.5142011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,0.0,0.0,0.0,620.0,45.0,10.0,647.0,0.0,10.0,10.0,0.0,2.2484688758850098,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.5999955,0.034323256,0.6784715,0.54898274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0.0,0.0,0.0,635.0,46.0,15.0,662.0,0.0,15.0,15.0,0.0,2.2953360080718994,,,,,,,,,,,,,,,,,,,,,7.638514063250426,4.009779174449701,13.994164535871144,1.0,0.57392526,0.041598987,0.66516113,0.5063021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,0.0,0.0,0.0,645.0,47.0,10.0,672.0,0.0,10.0,10.0,0.0,2.328315496444702,,,,,,,,,,,,,,,,,,,,,5.338254258716445,2.732393946269655,9.56179249911955,1.0,0.58036447,0.049459707,0.6888753,0.51351506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,0.0,0.0,0.0,661.0,48.0,16.0,688.0,0.0,16.0,16.0,0.0,2.3660693168640137,,,,,,,,,,,,,,,,,,,,,8.089495864954301,4.257252898951503,14.854222890512432,1.0,0.60391617,0.04409704,0.68408203,0.5458194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6.0,0.0,0.0,0.0,673.0,49.0,12.0,700.0,0.0,12.0,12.0,0.0,2.402031660079956,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.5777267,0.044863693,0.6922054,0.51798755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,0.0,0.0,0.0,685.0,50.0,12.0,712.0,0.0,12.0,12.0,0.0,2.4489095211029053,,,,,,,,,,,,,,,,,,,,,6.267519165806655,3.251571134644539,11.36151282838707,1.0,0.58084387,0.044084903,0.68123317,0.5275881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,0.0,0.0,0.0,699.0,51.0,14.0,726.0,0.0,14.0,14.0,0.0,2.4907593727111816,,,,,,,,,,,,,,,,,,,,,7.184539029491803,3.759704926204486,13.125418723102166,1.0,0.60211474,0.041275717,0.6901003,0.54877794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
